文档名称,标题,类型,Github链接,Gitee链接,说明,更新日期
AN29000.pdf,FMC驱动SDRAM基础教程,FMC/FSMC,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN29000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN29000,本应用手册主要介绍了如何使用FMC驱动SDRAM，包括硬件设计和软件配置以及如何同时挂在两个SDRAM使用。,2026/5/26
AN35000.pdf,ARGB优势对比及基础教程,ARGB,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN35000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN35000,本应用手册对比了常见的WS2812等灯珠的控制方式，体现ARGB的优势,2026/3/26
AN03002.pdf,Coremark介绍与跑分配置,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03002,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03002,CoreMark是由EEMBC于2009年推出的嵌入式处理器性能评测标准，旨在取代过时的Dhrystone，现已成为业界公认的MCU性能衡量基准。CoreMark通过运行三种核心算法评估处理器效率：矩阵运算（加减乘除及乘向量）、链表操作（排序与CRC校验）和状态机迁移（循环与分支控制）。测试代码量约2KB，数据量16KB，最终以Iterations/Sec（每秒迭代次数）作为输出结果，要求测试时长不少于10秒以确保准确性。CoreMark得分受多种因素影响。编译器优化等级是最关键因素之一，从-O1到-Ofast，性能差异显著。特定优化选项如循环展开（-funroll-all-loops）、函数内联（-finline-limit）和指令调度（-fselective-scheduling）可进一步提升跑分。此外，不同GCC版本也会带来约1.5%的性能差异。内存配置同样至关重要。RAM可实现零等待访问，而Flash读取较慢，高频下需插入等待周期，导致性能下降。将核心代码放入RAM执行可显著提升跑分。,2026/6/1
AN03001.pdf,双核芯片的中断分配与唤醒,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03001,本文主要描述双核芯片中断在使能，权限分配，以及使用等方面的注意事项。,2026/7/15
AN91002.pdf,LD和Startup文件常用工程配置,工具与开发环境,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN91002,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN91002,本文主要描述，LD和启动文件的配置，可以灵活实现内存分配，固定地址存放，共享变量，搬运取址等操作，一定程度上提高工程应用的灵活性,2026/6/1
AN03003.pdf,Qingke Riscv内核特色指令,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03003,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03003,本文旨在系统性地阐述本公司基于 RISC-V 架构自主研发的芯片中所集成的一系列特色内核指令。内容将涵盖这些指令的微架构设计初衷、功能定义，并对其在特定算法场景下的性能增益与硬件开销进行量化分析，以全面评估其在提升处理器能效比方面的核心价值。,2026/8/6
AN09001.pdf,CH32X315 ADC外设使用说明,ADC/HSADC,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN09001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN09001,本文主要介绍了CH32X315通用MCU具有四个ADC模块；ADC可使用级联的方式可以对4个ADC同时使用，可达到同时采集的目的。此外，CH32X315具有扫描输出功能，可配合开关芯片完成多个通道全自动自动扫描。,2025/11/20
AN90001.pdf,轻量级WCHGUI开发实践—以控制盒子为例,其他,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN90001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN90001,"WCHGUI 是沁恒微电子为 CH32系列MCU 配套的轻量级 GUI 库，配合 WCHGUIDesigner 上位机，采用""声明式 UI + 自动代码生成 + 硬件抽象层""的路线，在几KB RAM 的嵌入式设备上也能跑多页面界面。本文以CH32V203CCT6 + ST77916 LCD + SPI Flash 为例，梳理从 Designer 出图到main 函数刷帧的完整闭环，并给出进度条、开关、按钮、图片等常用控件的业务层写法，帮助开发人员快速掌握。",2026/8/20
AN91003.pdf,片外FLASH的LINK下载流程,工具与开发环境,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN91003,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN91003,本文主要描述基于现有工具，适配外部FLASH下载的方式，并提供相应使用教程,2025/11/26
AN91001.pdf,脱机烧录器的使用,工具与开发环境,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN91001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN91001,"沁恒脱机烧录器（离线烧录器），是一款无需连接电脑，就能批量为沁恒芯片烧录程序的专用工具。脱机烧录器相较于WCH_Link，更适配工厂批量生产等需要反复，大量烧录的场景。沁恒烧录器提供了USB,串口，SWD三种下载方式。其中USB，串口支持沁恒所有芯片，SWD仅适用于支持单线和双线调试协议芯片。本应用文档不仅对沁恒脱机烧录器功能进行介绍，并对用户常遇到的问题进行分析。",2026/7/31
AN36000.pdf,PSRAM如何使用,PSRAM,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN36000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN36000,本手册旨在帮助开发人员快速掌握CH32V467内置PSRAM的功能特性、配置方法和典型应用,2026/7/25
AN36001.pdf,PSRAM跑代码,PSRAM,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN36001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN36001,本文档面向使用 CH32V467 系列微控制器的嵌入式开发人员，详细说明如何通过修改链接脚本（Link.ld）和利用启动文件（startup）的钩子函数，将指定模块（例如 CoreMark 性能测试代码）从内部 Flash 搬运到 PSRAM 中运行，从而利用 PSRAM 的大容量和高带宽优势提升代码执行效率。,2026/8/28
AN91004.pdf,LINK及MRS相关使用技巧,工具与开发环境,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN91004,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN91004,随着版本的迭代，软件功能也在不断完善。本文旨在描述上述工具的常见用法，方便开发使用。,2026/8/31
AN97000.pdf,CH32 USB DFU固件升级,固件升级,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN97000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN97000,本应用笔记介绍了基于CH32的USB-DFU固件升级实现方法，仅通过USB控制传输即可将固件下载到设备，无需烧录器或额外引脚。片内Flash划分为Bootloader与应用程序两个分区，配合通用主机工具dfu-util，即可实现应用程序固件的下载与回读。,2026/8/27
AN03005.pdf,CH32H417中内核特殊功能介绍,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03005,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03005,CH32H417是沁恒首款双核通用MCU，采用青稞 RISC-V 双核架构（V5F + V3F），内置硬件信号量（HSEM）、核间通信（IPC）和物理内存保护（PMP）三大内核级功能。这些功能为双核协同工作、资源安全访问和系统稳定性提供了硬件级支撑，是发挥双核架构优势的基础。本文档整理各功能的核心作用、工作机制和基础使用方法，供二次开发参考。,2026/7/8
AN03004.pdf,CH32H417在不同存储介质下运行速度对比,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03004,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03004,本文旨在通过实测数据，量化 CH32V467 在不同存储介质配置下的性能差异，为开发者进行存储资源分配和系统优化提供参考依据。,2026/8/27
AN16001.pdf,I2C和I3C的对比和I3C的简要使用说明,I3C,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN16001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN16001,集成电路间总线（I2C）和改良型集成电路间总线（I3C）均为同步串行通信协议，广泛用于连接传感器、加速度计、触控芯片及低功耗外设等。两者在物理层均使用两根信号线（时钟SCL及数据SDA），但I3C在保留向后兼容性的基础上，对总线性能、功耗和管理能力进行了显著增强。,2026/8/26
AN25001.pdf,SAI和I2S的对比和SAI的简要使用说明,SAI,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN25001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN25001,串行音频接口（SAI）和音频总线（I2S）均为同步串行音频通信外设，广泛用于数字音频的收发、编解码器连接、多通道音频路由及低延迟流处理。两者在操作层面均支持帧时钟（FS）和位时钟（SCK）驱动的串行数据搬移，I2S作为一种专用协议，则更专注于标准双声道立体声传输，帧结构固定（左/右声道数据紧邻）；但SAI作为可配置的多功能外设模块，支持多种音频格式，具备双独立模块更加灵活。,2026/7/8
AN26001.pdf,SPI和QSPI的对比和QSPI的简要使用说明,QSPI,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN26001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN26001,SPI（Serial Peripheral Interface）是 MOTOROLA 提出的四线同步串行协议，广泛用于连接LCD屏幕、FLASH、ADC及其他外设等。SPI外设则是为了SPI协议而设计的外设，具有速度快，灵活性高等特点。而QSPI外设则是专门用于兼容用于连接支持四线（Quad）传输模式的SPI闪存（如Quad-SPI NOR Flash）等设备的增强型外设。,2026/7/8
AN10000.pdf,WCH 触摸按键应用指南,TEKY,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN10000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN10000,本指南介绍了沁恒微电子通用系列触摸按键检测的原理和不同类型对比并介绍PCB设计原则；良好的布板习惯可以大大简化后续软件的开发实现，开发过程中一定要遵循 PCB 设计准则。阅读本笔记有助于提升触摸应用的质量。,2026/7/8
AN01001.pdf,VDD12的外部供电方案,PWR,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN01001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN01001,CH32系列中部分高性能型号将1.2V的VDD12域（内核及高速外设供电域）通过引脚引出，支持外部DCDC直接供电，使负载电流可以由外部电源接管。本应用笔记详细介绍了通过外部DCDC降压转换器直接为VDD12域提供1.2V电压的方案，提升电源转换效率，降低系统整体功耗和芯片发热情况。,2026/6/1
AN24001.pdf,CH32通用系列CMP使用指南,OPA/CMP,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN24001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN24001,本文主要介绍CH32通用系列CMP外设使用介绍，简要说明CMP参数指标用于对CH32通用系列CMP选型；以及对CMP几种使用模式介绍。,2026/7/8
AN24000.pdf,CH32通用系列OPA外设使用指南,OPA/CMP,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN24000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN24000,本文主要介绍CH32通用系列OPA外设使用介绍，简要说明OPA参数指标用于对CH32通用系列OPA选型；以及对OPA几种使用模式介绍与几个典型模式使用介绍。,2026/7/8
AN31001.pdf,CH32H417的数字滤波器的使用说明,DFSDM,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN31001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN31001,CH32H417内部集成了一种专用于外部ΣΔ调制器的高性能数字滤波器模块DFSDM。DFSDM包含数字串行接口和2 个数字滤波器，通过串行接口可对外部ΣΔ调制器输出的串行数据流进行滤波。此外，DFSDM还特有可选择来自内部ADC 外设或者设备存储器的并行数据流输入。本文说明了DFSDM的框图结构及主要组成模块，并介绍使用DFSDM采集PDM立体声麦克风数据由SAI接口进行音频输出的方法。,2026/6/1
AN11000.pdf,RTC/Systick/TIM/LPTIM对比与应用,TIM,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN11000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN11000,"定时器用途广泛，是MCU中常见的外设。沁恒微电子的MCU配置了多种定时器器资源，包括高级/通用/基本定时器（TIM）,实时时钟（RTC）和滴答定时器（Systick）。随着用户对低功耗产品需求越来越严格，沁恒在CH32L/CH32H系列产品增加了低功耗定时器（LPTIM）。这四种定时器在设计初衷、应用上各有侧重。本应用文档对比这四类定时器，帮助用户掌握定时器的特色与应用场景。",2026/8/26
AN11001.pdf,精简定时器的功能与应用,TIM,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN11001,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN11001,CH32V006/CH32M007是南京沁恒微电子基于青稞（QingKe）RISC-V内核设计的工业级通用微控制器。CH32V006/CH32M007拥有了丰富的外设资源，其中精简定时器是CH32V006/ CH32M007区别于其他通用MCU 的特色外设之一。本文将以精简定时器为核心，深入介绍其工作原理、应用场景及配置方式。,2026/7/8
